aback	by surprise
animosity	bitter hostility or open enmity; active hatred
annals	a chronological record of the events of successive years; a descriptive account or record; a history
annex	to append or attach; to incorporate (territory) into an existing political unit such as a country, state, county, or city
annihilate	to destroy completely; to defeat decisively; vanquish
annul	to make or declare void or invalid, as a marriage or a law; nullify
anodyne	capable of soothing or eliminating pain; relaxing
anoint	to apply oil, ointment, or a similar substance to; to put oil on during a religious ceremony
anomaly	deviation or departure from the normal or common order, form, or rule
antagonism	actively expressed opposition or hostility
antagonist	one that contends with or opposes another
ante meridiem	before noon; A.M., a.m.
antecedent	going before; preceding
antediluvian	extremely old and antiquated; occurring or belonging to the era before the Flood written about in the Bible
anthology	a collection of literary pieces, such as poems, short stories, or plays
anthropology	the scientific study of the origin, the behavior, and the physical, social, and cultural development of human beings
anthropomorph	a being or object that is given human characteristics or qualities
anthropomorphic	described or thought of as having a human form or human attributes; ascribing human characteristics to nonhuman things
antigen	a substance that when introduced into the body stimulates the production of an antibody
antithetical	being in direct and unequivocal opposition; directly opposite or opposed
apartheid	an official policy of racial segregation practiced in the Republic of South Africa
apathy	lack of interest or concern, especially regarding matters of general importance or appeal; indifference
apex	the highest point; the vertex; the point of culmination
aphorism	a tersely phrased statement of a truth or opinion; an adage; a brief statement of a principle
apologetic	offering or expressing an apology or excuse
apologetics	the branch of theology concerned with the defense or proof of Christianity
apologist	one who speaks or writes in defense of a faith, a cause, or an institution
apoplexy	a fit of extreme anger; rage; sudden impairment of neurological function, especially that resulting from a cerebral hemorrhage; a stroke
apostasy	abandonment of one's religious faith, a political party, one's principles, or a cause
apostle	one of a group made up especially of the 12 disciples chosen by Jesus to preach the gospel; one who pioneers an important reform movement, c
apothegm	a terse, witty, instructive saying; a maxim
appall	to fill with consternation or dismay
apposite	strikingly appropriate and relevant
appreciable	possible to estimate, measure, or perceive
apprehensive	anxious or fearful about the future; uneasy
approbation	an expression of warm approval; praise
apropos	at an appropriate time; opportunely
apt	especially suited to the circumstances; often doing something and likely to do it again; enthusiastic and quick to learn new things
arbiter	one chosen or appointed to judge or decide a disputed issue; an arbitrator
arbitrary	determined by chance, whim, or impulse, and not by necessity, reason, or principle
arcane	known or understood by only a few
ardent	expressing or characterized by warmth of feeling; passionate; burning; fiery; glowing; shining
ardor	fiery intensity of feeling; strong enthusiasm or devotion; zeal; intense heat or glow
arduous	demanding great effort or labor; difficult
asana	any of various yogic postures
ascetic	a person who renounces material comforts and leads a life of austere self-discipline and self-denial, especially as an act of religious devo
askance	with disapproval, suspicion, or distrust
asperity	roughness or harshness, as of surface, sound, or climate; harshness of manner; ill temper or irritability
aspersion	an unfavorable or damaging remark; slander; the act of defaming or slandering
aspire	to have a great ambition or ultimate goal; desire strongly
assent	to agree, as to a proposal; concur
assert	to state or declare positively and often forcefully or aggressively
assertion	insistent and positive affirming, maintaining, or defending (as of a right or attribute)
assiduous	constant in application or attention; diligent; unceasing; persistent
assuage	to make (something burdensome or painful) less intense or severe; to pacify or calm
astigmatism	a refractive defect of a lens or other optical system that prevents light rays from converging at a single point, resulting in a blurred or
astute	shrewdness and discernment, especially with respect to one's own concerns
asunder	apart; into separate parts or pieces
Athena	Greek Mythology - the goddess of wisdom, the practical arts, and warfare
atrocious	extremely evil or cruel; monstrous
atrophy	a wasting away, deterioration, or diminution
attrition	a gradual, natural reduction in membership or personnel, as through retirement, resignation, or death
audacious	fearlessly, often recklessly daring; bold; unrestrained by convention or propriety; insolent; spirited and original
aura	an invisible breath, emanation, or radiation; a distinctive but intangible quality that seems to surround a person or thing
aural	of, relating to, or perceived by the ear
auscultation	the act of listening; the act of listening for sounds made by internal organs, as the heart and lungs
auspice	protection or support; patronage; a sign indicative of future prospects; an omen
austere	severe or stern in disposition or appearance; somber and grave; strict or severe in discipline; ascetic
autoimmune	an immune response by the body against one of its own tissues or types of cells
automata	self-operating machine or mechanism, especially a robot; one that behaves or responds in a mechanical way
autonomic nervous system	The part of the vertebrate nervous system that regulates involuntary action, as of the intestines, heart, and glands, and that is divided in
autotroph	an organism capable of synthesizing its own food from inorganic substances, using light or chemical energy
avant-garde	a group active in the invention and application of new techniques in a given field, especially in the arts
avarice	immoderate desire for wealth; cupidity
aver	to declare positively : law - to verify or prove to be true in pleading a cause : to allege or assert in pleading
averse	having a feeling of opposition, distaste, or aversion; strongly disinclined
aversion	a fixed, intense dislike; repugnance; a feeling of extreme repugnance accompanied by avoidance or rejection
axiom	a self-evident or universally recognized truth; a maxim; an established rule, principle, or law
axon	the usually long process of a nerve fiber that generally conducts impulses away from the body of the nerve cell
azure	light purplish blue
bade	to issue a command to; direct; to invite to attend; summon
balderdash	nonsense
baleful	menacing; evil
ballastic	extremely and usually suddenly excited, upset, or angry : wild; of or relating to the science of the motion of projectiles in flight
balliwick	one's one special domain
banal	commonplace and often predictable; trite
bandit	a robber, especially one who robs at gunpoint
banish	exile; to drive away; expel
banshee	female spirit in Gaelic folklore believed to presage, by wailing, a death in a family
banter	good-humored, playful conversation
bawdy	humorously coarse; risqué; vulgar; lewd
beau	ladies' man; lover
bedlam	a place or situation of noisy uproar and confusion
bedraggled	wet; limp; soiled by or as if by having been dragged through mud; in a condition of deterioration; dilapidated
beguile	to deceive by guile; delude; to take away from by or as if by guile; cheat
belabor	to discuss repeatedly or at length; harp on; to attack with blows; hit, beat, or whip
beldam	an old woman, especially one who is considered ugly
beleaguer	to harass; beset
bellicose	warlike in manner or temperament; pugnacious
belligerent	inclined or eager to fight; hostile or aggressive
bemoan	to mourn over; lament; to express pity or grief for
bemuse	to cause to be bewildered; confuse; to cause to be engrossed in thought
benchmark	a standard by which something can be measured or judged
benediction	a blessing; an invocation of divine blessing, usually at the end of a church service
benefactor	one that gives aid, especially financial aid
benign	of a kind and gentle disposition; of no danger to health; not recurrent or progressive; not malignant
bequeath	to pass (something) on to another; hand down
berate	to rebuke or scold angrily and at length
bereave	to leave desolate or alone, especially by death
bereft	deprived of something; suffering the death of a loved one; bereaved
beseech	to address an earnest or urgent request to; implore; to request earnestly; beg for
beset	to attack on all sides; assail; harass: to be beset by enemies; beset by difficulties
besmirch	to stain; to make dirty; soil
bespoke	custom-made; dealing in or producing custom-made articles
biddable	easily led, taught, or controlled : docile
bide	to remain in a condition or state; to wait; tarry; to stay
bifurcate	to divide into two parts or branches
bight	a bend or curve, especially in a shoreline; a wide bay formed by such a bend or curve
biotic	of or having to do with life or living organisms
bipartisan	of, consisting of, or supported by members of two parties, especially two major political parties
bipartite	having or consisting of two parts
biped	an animal with two feet
bipolar	relating to or having two poles; having two opposite or contradictory ideas or natures
bird-dog	to watch closely; to seek out : follow, detect
black hole	an extremely small region of space-time with a gravitational field so intense that nothing can escape, not even light
blandish	to coax by flattery or wheedling; cajole
blaspheme	to speak of (God or a sacred entity) in an irreverent, impious manner; to revile; execrate
blasé	uninterested because of frequent exposure or indulgence; unconcerned; nonchalant
blatant	unpleasantly loud and noisy; totally or offensively conspicuous or obtrusive
blather	to talk nonsensically
blazon	to proclaim widely
blear	to blur or redden (the eyes)
blench	to draw back or turn aside from lack of courage : flinch
blight	any of numerous plant diseases resulting in sudden conspicuous wilting and dying of affected parts; an extremely adverse environmental condi
bliss	extreme happiness; ecstasy; the ecstasy of salvation; spiritual joy
blithe	carefree and lighthearted; lacking or showing a lack of due concern; casual
bloc	a group of nations, parties, or persons united for common action
bludgeon	a short, heavy club, usually of wood, that is thicker or loaded at one end
bode	to be an omen of; to predict; foretell
bodhisattva	One whose essence is enlightenment, fr. bodhi enlightenment + sattva being. A being that compassionately refrains from entering nirvana in
boffo	extremely successful; great
bombast	grandiloquent, pompous speech or writing
bondage	the condition of being enslaved or a serf; the practice of being tied up or restrained physically during sexual intercourse
bonhomie	a pleasant and affable disposition; geniality
boniface	the proprietor of a hotel, nightclub, or restaurant
boondoggle	unnecessary, wasteful, and often counterproductive work
boor	a churlish, rude, or unmannerly person : a country bumpkin; rustic; yokel
boor	a person with rude, clumsy manners and little refinement; a peasant
boorish	 unmannered; crude; insensitive
Brahma	1. Hinduism. a. The creator god, conceived chiefly as a member of the triad including also Vishnu and Shiva.
Brahman	Hinduism. a. A religious formula or prayer and the holy or sacred power in it and in the officiating priest. b. The holy or sacred power tha
brandish	to wave or flourish (a weapon, for example) menacingly; to display ostentatiously
bravado	defiant or swaggering behavior; a pretense of courage; a false show of bravery
brazen	marked by flagrant and insolent audacity; having a loud, usually harsh, resonant sound
brevity	shortness
brine	salt water
brink	the point at which something is likely to begin; the verge
brio	vigor; vivacity
brogue	a strong dialectal accent, especially a strong Irish accent
bromide	a commonplace remark or notion; a platitude; a tiresome person; a bore
brothel	house of prostitution
brouhaha	an uproar; a hubbub
bruit	to spread news of; repeat
Buddha	a person who has attained Buddhahood; a representation of Gautama Buddha
Buddhism	a religion of eastern and central Asia growing out of the teaching of Gautama Buddha that suffering is inherent in life and that one can be
buffoon	a clown; a jester; a ludicrous or bumbling person; a fool
bumpkin	an awkward, simple, unsophisticated person from a rural area; yokel
bumptious	crudely or loudly assertive; pushy
burlesque	a ludicrous or mocking imitation; a travesty; a variety show characterized by broad ribald comedy, dancing, and striptease
byword	a proverbial expression; a proverb; an often-used word or phrase
byzantine	characterized by intrigue; scheming or devious. b. Highly complicated; intricate and involved
cabal	a conspiratorial group of plotters or intriguers; a secret scheme or plot
cabala	body of mystical teachings of rabbinical origin, often based on an esoteric interpretation of the Hebrew Scriptures
cabana	shelter on a beach or at a swimming pool used as a bathhouse
cacophony	jarring, discordant sound; dissonance
cadre	a nucleus or core group especially of trained personnel able to assume control and to train others; broadly : a group of people having some unifying relationship ; a cell of indoctrinated leaders active in promoting the interests of a revolutionary party
cajole	to urge with gentle and repeated appeals, teasing, or flattery; wheedle
callous	emotionally hardened; unfeeling
callow	lacking adult maturity or experience; immature
candid	open and sincere of expression; unreservedly straightforward; free from prejudice; impartial
candor	frankness or sincerity of expression; openness; freedom from prejudice; impartiality
canonical	the simplest form of something
cantankerous	ill-tempered and quarrelsome; disagreeable; difficult to handle
caprice	an impulsive change of mind; a sudden, unpredictable action, change, or series of actions or changes
capricious	characterized by or subject to whim; impulsive and unpredictable
captious	marked by a disposition to find and point out trivial faults; intended to entrap or confuse, as in an argument
carafe	a glass or metal bottle, often with a flared lip, used for serving water or wine
carapace	a protective, shell-like covering likened to that of a turtle or crustacean
cardinal	of prime importance; chief; principal
cardinality	the number of elements in a given mathematical set 
careen	to lurch or swerve while in motion; to rush headlong or carelessly
caricature	a grotesque imitation or misrepresentation
carnage	massive slaughter, as in war; a massacre; corpses, especially of those killed in battle
carnal	relating to the physical and especially sexual appetites; worldly or earthly; temporal; of or relating to the body or flesh; bodily
carnivorous	flesh-eating or predatory
carom	to collide and rebound
carte blanche	unrestricted power to act at one's own discretion; unconditional authority
cartel	a group of parties, factions, or nations united in a common cause; a bloc
cartographcy	the art or technique of making maps or charts
Cassandra	one that utters unheeded prophecies
castigate	to inflict severe punishment on; to criticize severely
cataclysm	a violent upheaval that causes great destruction or brings about a fundamental change
catch-22	dilemma from which there is no escape
catharsis	a purifying or figurative cleansing of the emotions, especially pity and fear; a release of emotional tension that restores or refreshes the
catholic	of broad or liberal scope; comprehensive; including or concerning all humankind; universal
caustic	capable of burning, corroding, dissolving, or eating away by chemical action; corrosive and bitingly trenchant; cutting
cavalier	a gallant or chivalrous man, especially one serving as escort to a woman of high social position; a gentleman
cavort	bound or prance about in a sprightly manner; to have lively or boisterous fun; romp
cede	to surrender possession of, especially by treaty; to yield; grant
celerity	swiftness of action or motion; speed
celestial	heavenly
celibate	abstaining from sexual intercourse, especially by reason of religious vows; unmarried; unwed
Cenozoic	the latest era of geologic time, which includes the Tertiary Period and the Quaternary Period and is characterized by the formation of moder
censure	an expression of strong disapproval or harsh criticism
certitude	sureness of occurrence or result; inevitability
cerulean	deep blue; sky blue; azure
cetacean	any of various aquatic, chiefly marine mammals of the order Cetacea, including the whales, dolphins, and porpoises, characterized by a nearl
chaperon	an older person who attends and supervises a social gathering for young people
charisma	personal magnetism or charm
chaste	morally pure in thought or conduct; decent and modest; not having experienced sexual intercourse; virginal
chastise	to punish, as by beating; to criticize severely; rebuke
chastity	abstention from unlawful sexual intercourse : purity in conduct and intention : restraint and simplicity in design or expression
chasuble	priest's garment: a loose sleeveless outer garment worn by a priest when celebrating Mass or Holy Communion
chateau	a French castle; a French manor house; a large country house
chattels	any article of tangible property other than land, buildings, and other things annexed to land
cherub	winged celestial being; one of the second order of angels
chicanery	refers to the use of trickery, deception, or clever but dishonest talk to achieve a personal or political goal
chide	to scold mildly so as to correct or improve; reprimand
choleric	easily angered; bad-tempered
Christian apologetics	field of Christian theology that aims to present a rational basis for the Christian faith, defend the faith against objections, and expose t
churl	a rude, boorish person; a miserly person
cinch	a firm grip; something easy to accomplish; a sure thing; a certainty
cincture	the act of encircling or encompassing; a belt or sash, especially one worn with an ecclesiastical vestment or the habit of a monk or nun
cirrostratus	a high-altitude, thin hazy cloud, usually covering the sky and often producing a halo effect
cirrus	a high-altitude cloud composed of narrow bands or patches of thin, generally white, fleecy parts
cistern	a receptacle for holding water or other liquid, especially a tank for catching and storing rainwater
clandestine	kept or done in secret, often in order to conceal an illicit or improper purpose
cliché	a trite or overused expression or idea
climax	the point of greatest intensity or force in an ascending series or progression; a culmination
clique	a small, exclusive group of friends or associates
cloy	to cause distaste or disgust by supplying with too much of something originally pleasant, especially something rich or sweet; surfeit
coalesce	to grow together; fuse
coalition	an alliance, especially a temporary one, of people, factions, parties, or nations; a combination into one body; a union
coccygodynia	pain in the region of the coccyx (pain in the ass); also called coccyalgia , coccydynia , coccyodynia
coerce	to force to act or think in a certain way by use of pressure, threats, or intimidation; compel
coeval	of the same age, date, or duration; equally old
cogent	appealing to the intellect or powers of reasoning; convincing
cogitate	think carefully about; ponder
cognac	a brandy distilled from white wine
cognition	the mental process or faculty of knowing, including aspects such as awareness, perception, reasoning, and judgment
cognitive dissonance	when a person's behavior and beliefs do not complement each other or when they hold two contradictory beliefs
cognizance	conscious knowledge or recognition; awareness
cognoscente	a person with superior, usually specialized knowledge or highly refined taste; a connoisseur
coherence	the quality of being logical and consistent
cohesion	the action or fact of forming a united whole.
cohesive	united and working together effectively
cohort	companion, colleague; band, group; a group of individuals having a statistical factor; a group of warriors or soldiers
colloquy	a conversational exchange; dialogue; discussion
collude	to act together secretly to achieve a fraudulent, illegal, or deceitful purpose; conspire
commemorate	honor the memory of with a ceremony
commensurate	of the same size, extent, or duration as another; measurable by a common standard
commiserate	to feel or express sorrow or pity for; sympathize with
compel	to exert a strong, irresistible force on; sway
compendium	a short, complete summary; an abstract; a list or collection of various items
complacent	contented self-satisfaction; total lack of concern
complaisant	obliging; compliant; willing to do what pleases others; polite, showing respect
complicity	involvement with another in doing something illegal or wrong
composite	made up of distinct parts or elements
compunction	a strong uneasiness caused by a sense of guilt
concave	curved like the inner surface of a sphere
conceit	excessive pride in oneself
conciliate	to overcome the distrust or animosity of; appease; to regain or try to regain (friendship or goodwill) by pleasant behavior
concomitant	occurring or existing concurrently; attendant
concord	harmony or agreement of interests or feelings; accord; a treaty establishing peaceful relations
concordant	harmonious; agreeing
concubine	a woman who cohabits with a man
concur	to be of the same opinion; agree
condemn	to express strong disapproval of; to pronounce judgment against; sentence
condone	willing to overlook something: to regard something that is considered immoral or wrong in a tolerant way, without criticizing it or feeling
confabulate	to talk casually; chat; to replace fact with fantasy unconsciously in memory
confidant	one to whom secrets or private matters are disclosed
conflagration	a large, destructive fire
confute	to prove to be wrong or in error; refute decisively
congeal	to solidify by or as if by freezing
congenial	of a pleasant disposition; friendly and sociable; having the same tastes, habits, or temperament; sympathetic
congenital	existing at or before birth
conglomerate	a corporation made up of a number of different companies that operate in diversified fields
congruous	corresponding in character or kind; appropriate or harmonious
conjecture	the formation of judgments or opinions on the basis of incomplete or inconclusive information
conjugal	of or relating to marriage or the relationship of spouses
conjure	to call or bring to mind; evoke; to summon (a devil or spirit) by magical or supernatural power
connive	to cooperate secretly in an illegal or wrongful action; collude
connoisseur	a person with expert knowledge or training, especially in the fine arts; a person of informed and discriminating taste
connote	to suggest or imply in addition to literal meaning
conscientious	guided by or in accordance with the dictates of conscience; principled
conservative	favoring traditional views and values; tending to oppose change; moderate; cautious
console	to allay the sorrow or grief of
consort	a husband or wife; a companion or partner
consortium	a cooperative arrangement among groups or institutions
conspicuous	easy to notice; obvious
conspiracy	an agreement to perform together an illegal, wrongful, or subversive act
conspire	to plan together secretly to commit an illegal or wrongful act or accomplish a legal purpose through illegal action
constable	a peace officer with less authority and smaller jurisdiction than a sheriff, empowered to serve writs and warrants and make arrests
consternation	a state of paralyzing dismay
constituency	the body of voters represented by an elected legislator or official; a group of supporters or patrons
constituent	serving as part of a whole; component; empowered to elect or designate
construe	to give the meaning or intention of; explain; interpret
consummate	to bring to completion or fruition; conclude; to complete (a marriage) with the first act of sexual intercourse after the ceremony
contemn	to view with contempt; despise
contempt	disparaging or haughty disdain, as for something base or unworthy; scorn
contemptuous	scornful
contention	striving in controversy or debate; an assertion put forward in argument
contentious	quarrelsome
contiguous	sharing an edge or boundary; touching; connecting without a break; connected in time; uninterrupted
continuity	an uninterrupted succession or flow; a coherent whole
continuum	a continuous extent, succession, or whole, no part of which can be distinguished from neighboring parts except by arbitrary division
contort	to twist, wrench, or bend severely out of shape
contra-	against; opposite; contrasting
contraband	goods prohibited by law or treaty from being imported or exported; smuggled goods
contrite	feeling regret and sorrow for one's sins or offenses; penitent
contrition	sincere remorse for wrongdoing; repentance
contrive	to plan with cleverness or ingenuity; devise; to plan with evil intent; scheme
contrived	obviously planned or calculated; not spontaneous; labored
controversy	a discussion marked especially by the expression of opposing views
controvert	to raise arguments against; voice opposition to
contumacious	obstinately disobedient or rebellious; insubordinate
contumely	rudeness or contempt arising from arrogance; insolence
conundrum	a riddle in which a fanciful question is answered by a pun; a paradoxical, insoluble, or difficult problem; a dilemma
convex	having a surface or boundary that curves or bulges outward, as the exterior of a sphere
convival	fond of feasting, drinking, and good company; sociable; merry; festive
copious	large in quantity; abundant; abounding in matter, thoughts, or words; wordy
coquette	a woman who makes teasing sexual or romantic overtures; a flirt
corporal	of or relating to the body
corporeal	of or relating to the body; of a material nature; tangible
corpulence	fleshiness; fatness
corpulent	very fat
corroborate	confirm
corsair	pirate
coruscate	to give forth flashes of light; sparkle and glitter
cosmology	the study of the physical universe considered as a totality of phenomena in time and space
cosmopolitan	pertinent or common to the whole world
council	an assembly of persons called together for consultation, deliberation, or discussion
counsel	advice or guidance, especially as solicited from a knowledgeable person
countenance	a look or expression indicative of encouragement or of moral support; appearance, especially the expression of the face
coup	a brilliantly executed stratagem; a masterstroke; a coup d'état
coup d'état	the sudden overthrow of a government by a usually small group of persons in or previously in positions of authority
coup de grâce	a deathblow delivered to end the misery of a mortally wounded victim; a finishing stroke or decisive event
covet	to feel blameworthy desire for (that which is another's); to wish for longingly
covetous	excessively and culpably desirous of the possessions of another; marked by extreme desire to acquire or possess
coy	pretending, in a teasing or provocative way, to be reserved or modest
crass	so crude and unrefined as to be lacking in discrimination and sensibility
credulous	disposed to believe too readily; gullible
creed	a system of belief, principles, or opinions; a formal statement of religious belief; a confession of faith
crepuscular	of, relating to, or resembling twilight : dim (crepuscular light, the crepuscular sky); occurring or active during twilight (crepuscular insects, crepuscular activity, crepuscular birds)
Cretaceous	the third and last period of the Mesozoic Era, characterized by the development of flowering plants and the disappearance of dinosaurs
cretin	a person afflicted with cretinism; slang - an idiot
crone	an ugly, withered old woman; a hag
cruet	a small glass bottle for holding a condiment, such as vinegar or oil, at the table
crustacean	aquatic arthropods of the class Crustacea, including lobsters, crabs, shrimps, and barnacles, characteristically having a segmented body, a
cuisine	a characteristic manner or style of preparing food; food; fare
culinary	of or relating to a kitchen or to cookery
culminate	to reach the highest point or degree; climax; to come to completion; end
culpable	deserving of blame or censure as being wrong, evil, improper, or injurious
cumulonimbus	an extremely dense, vertically developed cumulus, usually producing heavy rains, thunderstorms, or hailstorms
cumulus	a dense, white, fluffy, flat-based cloud with a multiple rounded top and a well-defined outline
cursory	rapidly and often superficially performed or produced : hasty
cynic	a person who believes all people are motivated by selfishness
cynical	scornful of the motives, virtue, or integrity of others
dais	a raised platform, as in a lecture hall, for speakers or honored guests
dally	to play amorously; flirt; to waste time; dawdle
dank	disagreeably damp or humid
dapper	neatly dressed; trim; very stylish in dress; lively and alert
dastard	a sneaking, malicious coward
Daubert Test	a rule of evidence regarding the admissibility of expert witnesses' testimony
daunt	to abate the courage of; discourage
daunting	likely to discourage, intimidate, or frighten somebody
dawdle	to take more time than necessary; to waste (time) by idling
dearth	a scarce supply; a lack; shortage of food; famine
debacle	a sudden, disastrous collapse, downfall, or defeat; a rout; a total, often ludicrous failure
debase	to lower in character, quality, or value; degrade
debauch	to corrupt morally; to reduce the value, quality, or excellence of; debase
debilitate	to sap the strength or energy of; enervate
debonair	suave; urbane; affable; genial; carefree and gay; jaunty
deceive	to cause to believe what is not true; mislead
decimate	to destroy or kill a large part of (a group); to inflict great destruction or damage on
decisive	having the power to decide; conclusive; characterized by decision and firmness; resolute
decorous	characterized by or exhibiting decorum; proper
decorum	appropriateness of behavior or conduct; propriety; the conventions of polite behavior
decrepit	weakened, worn out, impaired, or broken down by old age, illness, or hard use
decry	to condemn openly
deduce	to reach (a conclusion) by reasoning; to infer from a general principle
defamation	the act of communicating false statements about a person that injure the reputation of that person
defame	to damage the reputation, character, or good name of by slander or libel
deference	courteous respect; submission or courteous yielding to the opinion, wishes, or judgment of another
defile	to make filthy or dirty; pollute; to profane or sully (a good name, for example)
deft	quick and skillful; adroit
defunct	having ceased to exist or live
deism	the belief, based solely on reason, in a God who created the universe and then abandoned it
deject	to lower the spirits of; dishearten
deleterious	having a harmful effect; injurious
delineate	to draw or trace the outline of; sketch out; to represent pictorially; depict
deluge	a great flood; a heavy downpour; something that overwhelms as if by a great flood
demagogue	a leader who obtains power by means of impassioned appeals to the emotions and prejudices of the populace
demarcate	to fix or define the limits of : delimit; to set apart : distinguish
demeanor	the way in which a person behaves; deportment
demitasse	a small cup of strong black coffee or espresso
demiurge	one that is an autonomous creative force or decisive power
democratic	of or for the people in general; popular; bBelieving in or practicing social equality
